field,value
schema,SOLTRADE_PHASE6_V25_RUN_SUMMARY_V1
execution_instance_id,V25-035-2026_P1-HIGH-DELAY200
segment_id,2026_P1
dataset,DEVELOPMENT
cost_profile,HIGH
execution_layer,FIXED_DELAY_200_MS
expected_execution_mode,200
reset_at,2026.01.02 00:00:00
eligible_from,2026.01.16 00:00:00
eligible_to,2026.04.09 00:00:00
first_evaluation,2026.01.20 11:00:00
final_evaluation,2026.04.08 22:00:00
expected_processable_completed_h1,1356
evaluations,1356
entry_opportunities,59
entry_attempts,57
entry_fills,57
exit_fills,57
missed_entry_windows,0
insufficient_history_skips,2
spread_blocks,0
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,7
time_exits,50
censored_position,NO
max_tick,2026.04.08 23:59:58
max_completed_h1,2026.04.08 22:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
