diagnostic,value,status
continuous_raw_closed_profit_usd,,UNRESOLVED_NO_VALID_CONTINUOUS_ACCOUNT
continuous_counted_closed_profit_usd,,UNRESOLVED_NO_VALID_CONTINUOUS_ACCOUNT_OR_SERVER_DAY
largest_source_segment_trade_usd,146.0806217894636,SUPPORTED_NONCONTINUOUS_SOURCE_SEGMENT
largest_source_segment_loss_usd,-62.201128961556535,SUPPORTED_NONCONTINUOUS_SOURCE_SEGMENT
best_e8_server_day,,UNRESOLVED_EXACT_E8_SERVER_TIME
maximum_completed_trade_inactivity_days,52.241284722222225,PASS_BELOW_60_DAYS_IN_QUALIFIED_EXECUTION_EVIDENCE
maximum_simultaneous_positions,7,SUPPORTED
maximum_simultaneous_usd_correlated_positions,7,SUPPORTED
maximum_ticket_lots,0.04,PASS
scheduled_symbol_signals,119,SUPPORTED
processed_symbol_signals,119,PASS_ALL_PROCESSED
entry_attempts,119,SUPPORTED
entry_fills,105,SUPPORTED
pre_order_risk_blocks,14,SUPPORTED_NOT_EXECUTION_ERRORS
missed_signals,0,PASS
execution_blocks_or_errors,0,PASS_SOURCE_EVIDENCE
daily_cap_circumvention,NO_EVIDENCE,EXACT_SERVER_DAY_UNRESOLVED
all_or_nothing_entire_daily_drawdown,YES,HARD_FAIL
qualitative_e8_risk_review,CORRELATED_USD_AND_BUY_SYMBOL_TRADE_DAY_CONCENTRATION,MATERIAL_CONCERN_SEPARATE_FROM_HARD_FAIL
