execution_condition,physical_execution_stream,previous_executed_trade_timestamp,previous_executed_trade,next_executed_trade_timestamp,next_executed_trade,exact_gap_duration,exact_gap_seconds,executed_trades_strictly_inside_gap,any_executed_trade_inside_gap,coverage_evidence,interpretation
NORMAL,NATIVE_NORMAL_EXECUTION,2025.03.03 10:05:00,USDJPY ENTRY deal 36,2025.04.04 14:32:01,AUDUSD STOP-LOSS EXIT deal 37,32 days 04:27:01,2780821,0,NO,01-v28-2025-development-native PASS real-tick run from 2024.12.01 through 2026.01.01; 77/77 signals processed; 0 missed,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
NORMAL,NATIVE_NORMAL_EXECUTION,2025.12.01 10:05:00,USDJPY REBALANCE EXIT deal 141,2026.01.05 10:05:00,EURUSD ENTRY deal 2,35 days 00:00:00,3024000,0,NO,Overlapping PASS real-tick runs 01 and 02 cover the interval; run 01 to 2026.01.01 and run 02 from 2025.12.01,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
NORMAL,NATIVE_NORMAL_EXECUTION,2026.03.02 10:05:00,USDJPY REBALANCE EXIT deal 29,2026.04.06 10:05:00,EURUSD ENTRY deal 30,35 days 00:00:00,3024000,0,NO,02-v28-2026-preseal-development-native PASS real-tick run from 2025.12.01 through 2026.08.01; 42/42 signals processed; 0 missed,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
NORMAL,NATIVE_NORMAL_EXECUTION,2026.06.01 10:05:01,USDJPY ENTRY deal 64,2026.07.06 10:05:00,EURUSD REBALANCE EXIT deal 65,34 days 23:59:59,3023999,0,NO,02-v28-2026-preseal-development-native PASS real-tick run from 2025.12.01 through 2026.08.01; 42/42 signals processed; 0 missed,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
HIGH,NATIVE_NORMAL_EXECUTION,2025.03.03 10:05:00,USDJPY ENTRY deal 36,2025.04.04 14:32:01,AUDUSD STOP-LOSS EXIT deal 37,32 days 04:27:01,2780821,0,NO,Same qualified native physical stream as NORMAL; HIGH is a supplementary cost reconstruction that does not change executions,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
HIGH,NATIVE_NORMAL_EXECUTION,2025.12.01 10:05:00,USDJPY REBALANCE EXIT deal 141,2026.01.05 10:05:00,EURUSD ENTRY deal 2,35 days 00:00:00,3024000,0,NO,Same qualified native physical stream as NORMAL; overlapping PASS runs cover the interval,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
HIGH,NATIVE_NORMAL_EXECUTION,2026.03.02 10:05:00,USDJPY REBALANCE EXIT deal 29,2026.04.06 10:05:00,EURUSD ENTRY deal 30,35 days 00:00:00,3024000,0,NO,Same qualified native physical stream as NORMAL; HIGH is a supplementary cost reconstruction that does not change executions,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
HIGH,NATIVE_NORMAL_EXECUTION,2026.06.01 10:05:01,USDJPY ENTRY deal 64,2026.07.06 10:05:00,EURUSD REBALANCE EXIT deal 65,34 days 23:59:59,3023999,0,NO,Same qualified native physical stream as NORMAL; HIGH is a supplementary cost reconstruction that does not change executions,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
STRESS,NATIVE_NORMAL_EXECUTION,2025.03.03 10:05:00,USDJPY ENTRY deal 36,2025.04.04 14:32:01,AUDUSD STOP-LOSS EXIT deal 37,32 days 04:27:01,2780821,0,NO,Same qualified native physical stream as NORMAL; STRESS is a supplementary cost reconstruction that does not change executions,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
STRESS,NATIVE_NORMAL_EXECUTION,2025.12.01 10:05:00,USDJPY REBALANCE EXIT deal 141,2026.01.05 10:05:00,EURUSD ENTRY deal 2,35 days 00:00:00,3024000,0,NO,Same qualified native physical stream as NORMAL; overlapping PASS runs cover the interval,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
STRESS,NATIVE_NORMAL_EXECUTION,2026.03.02 10:05:00,USDJPY REBALANCE EXIT deal 29,2026.04.06 10:05:00,EURUSD ENTRY deal 30,35 days 00:00:00,3024000,0,NO,Same qualified native physical stream as NORMAL; STRESS is a supplementary cost reconstruction that does not change executions,GENUINE_V28_INACTIVITY_NOT_MISSING_COVERAGE
