field,value
schema,SOLTRADE_PHASE6_V25_RUN_SUMMARY_V1
execution_instance_id,V25-026-2025_S2-HIGH-DELAY200
segment_id,2025_S2
dataset,DEVELOPMENT
cost_profile,HIGH
execution_layer,FIXED_DELAY_200_MS
expected_execution_mode,200
reset_at,2025.02.17 09:00:00
eligible_from,2025.02.17 09:00:00
eligible_to,2025.03.07 23:00:00
first_evaluation,2025.03.05 20:00:00
final_evaluation,2025.03.07 21:00:00
expected_processable_completed_h1,50
evaluations,50
entry_opportunities,15
entry_attempts,2
entry_fills,2
exit_fills,2
missed_entry_windows,0
insufficient_history_skips,13
spread_blocks,0
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,1
time_exits,1
censored_position,NO
max_tick,2025.03.07 22:59:59
max_completed_h1,2025.03.07 21:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
