field,value
schema,SOLTRADE_PHASE6_V23_RUN_SUMMARY_V1
execution_instance_id,V23-029-2025_S3-HIGH-DELAY200
segment_id,2025_S3
dataset,DEVELOPMENT
cost_profile,HIGH
execution_layer,FIXED_DELAY_200_MS
expected_execution_mode,200
reset_at,2025.03.20 08:00:00
eligible_from,2025.03.20 08:00:00
eligible_to,2025.08.06 16:00:00
first_evaluation,2025.04.07 19:00:00
final_evaluation,2025.08.06 14:00:00
indicator_eligible_h1_openings,2085
exclusive_boundary_unobservable_final_h1,1
expected_processable_completed_h1,2084
evaluations,2084
setups,69
confirmations,29
expired_setups,29
entry_fills,26
exit_fills,26
spread_blocks,3
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,12
donchian_exits,14
retest_1,14
retest_2,5
retest_3,3
retest_4,4
retest_5,2
retest_6,1
censored_position,NO
max_tick,2025.08.06 15:59:58
max_completed_h1,2025.08.06 14:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
