field,value
schema,SOLTRADE_PHASE6_V25_RUN_SUMMARY_V1
execution_instance_id,V25-003-2025_S1-STRESS-NATIVE
segment_id,2025_S1
dataset,DEVELOPMENT
cost_profile,STRESS
execution_layer,NATIVE_NORMAL_EXECUTION
expected_execution_mode,0
reset_at,2025.01.02 00:00:00
eligible_from,2025.01.16 00:00:00
eligible_to,2025.02.05 00:00:00
first_evaluation,2025.01.20 11:00:00
final_evaluation,2025.02.04 22:00:00
expected_processable_completed_h1,276
evaluations,276
entry_opportunities,14
entry_attempts,12
entry_fills,12
exit_fills,12
missed_entry_windows,0
insufficient_history_skips,2
spread_blocks,0
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,3
time_exits,9
censored_position,NO
max_tick,2025.02.04 23:59:58
max_completed_h1,2025.02.04 22:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
