field,value
schema,SOLTRADE_PHASE6_V28_RUN_SUMMARY_V1
execution_instance_id,a2-reference-200ms
dataset,V28_FXIFY_CONTINUOUS
execution_layer,FIXED_DELAY_200_MS
schedule_signals,133
processed_signals,133
entry_attempts,133
entry_fills,119
exit_fills,85
missed_signals,0
spread_blocks,0
risk_blocks,14
execution_blocks,0
open_positions_at_end,0
max_tick,2026.07.31 23:59:56
seal_breach,NO
capture_evidence,NO
equity_observation_calls,0
equity_hour_rows,0
cutoff_open_state_valid,YES
run_evidence_status,PASS
